src,predicted,actual
what are you laughing at,क्या तुम लेते हो,हँस क्यों रहे हो
america not can do this alone,कुछ तो नहीं हो सकता,ये काम अमरीका अकेला नहीं कर सकता
that is my normal green,ये पर प्रिमो कैक्टस खबर है,यह मेरा सामान्य हरा रंग है
mine is worth ten,आपकीस्मृति शूटिंग है है,मेरी तो दस के बराबर है
but that is artillery is not it,लेकिन यह यह बात नहीं है,लेकिन वह यह तोपखाने नहीं है
i have not got any,मेरे पास सत्य नहीं है,मेरे पास सत्य नहीं है
tom back in the game,बेबी लड़के के बाहर यहां,वापस खेल में टॉम
yes it is raining,हां यह व्यस्त हो गया है,हाँहो रही है
it is just some mistake,यह सब मेरी गलती है,यह सिर्फ कुछ गलती है
it is what you guys order,यह क्या तुम लोगों के लिए है,यह क्या तुम लोगों के लिए है
your soul is mine alexander,एक पुरानी एकदम अच्छा है,आपकी आत्मा सिकंदर खान है
from the century of horrors,पहले मां तरह के घर,भयावहता का वीं सदी से
bond we need to talk,अब हम लोगों को आवश्यकता है,बॉन्ड हमें बात करनी होगी
he will be okay,वह कुछ गलत हैं,वह ठीक हो जाएगा
goodbye and thank you,कम से कम को हुआ,अलविदा और धन्यवाद
gratitude can be forgiveness,आभार क्षमा किया जा सकता है,आभार क्षमा किया जा सकता है
good to see you,आपको देखकर अच्छा लगा,आप को देखने के लिए अच्छा है
but that was not easy,लेकिनयहआसाननहींथा,लेकिनयहआसाननहींथा
they ve would escaped too,वे सिर्फ सिर्फ हो जाएगा,वे भी बच गया होता
you want to light it,आप इसे धारण करने के लिए करना चाहते हैं,तुम सुलगाना चाहते हो
what are you saying phil,क्या आप कह रहे हैं डीके,तुम क्या फिल कह रहे हैं
i know but i promise,मुझे भी लगता था कि तुम,जानता हूं लेकिन वादा करता हूं
i think i do,मैं मैं तुम्हारे पास हूं,मेरे खयाल से समझ गया
how far have you explored,आपको कितना कितना की,तुमने कहाँ तक खोज की
how dare you pass comments,तुम्हारी मुक्केबाज़ी कैसे हुई तुम ख़ातिर,तुम्हारी हिम्मत कैसे हुयी कमेंट करने की
all right everybody let us eat,ठीक है सुनो वे खुद को बोल दिया,सब ठीक है सब लोग चलो खाओ
he is a missing child,उन्होंने कहा कि एक लिया है,वह एक लापता बच्चे है
right let us get moving fitzpatrick,अब है अनुकूल हो पर मिलता है,जल्दी से चलते बनो फिट्ज़पैट्रिक
he would never hurt me,वह मुझसे कुछ नहीं कहा,वह मुझे चोट नहीं होता
put your seatbelt on,अपनी सुविधाओं को देखो,अपनी सीट बेल्ट बांधो
you will be fine max,आप अधिकतम ठीक हो जाएगा,आप अधिकतम ठीक हो जाएगा
now let us get out there,अब वहाँ आराम कर लो,अब यहाँ से निकलते हैं
he will be here any minute,वह एक मिनट में हो जाएगा,वह यहाँ किसी भी पल हो जाएगा
have you ever watched television,आप कभी टेलीविजन देखा है,आप कभी टेलीविजन देखा है
and a total fucking mystery,और एक मोनोऑक्साइड प्रदूषित पानी,और पूरा रहस्य
that is what they called you,यही कारण है कि आप पंच कैसे करना है,यही कारण है कि वे आप को क्या कहा जाता है
are you all right,तुम ठीक हो,आप ठीक तो हैं
you knew my husband,आप कभी ही से की सारे किया की,आप मेरे पति को जानते थे
yes my lord,हाँ मेरे प्रभू,हाँ महाराजा
normals always na gon be relative,उन समय बहाल कर रहा है,सामान्य हमेशा वाला रिश्तेदार हो
she was on her own,वह हमें वापस कर रहा था,वह अपने दम पर था
how is the weather affect you,पत्नी तुम्हारा इलाज कर जाइए,कैसे आप मौसम को प्रभावित कर रहा है
how did you find out,तुम्हें कैसे पता चला,तुम्हे कैसे पता चला
edward what is wrong,सालमन क्या क्या है,एडवर्ड क्या हुआ
what shave down there,क्या क्या हो रहा,आप का मतलब नीचे सेविंग
bourbon on the rocks,सुबह में में,चट्टानों पर बोरबॉन
tell kang i am dead,उन्हें बताओ कि मैं खा देंगे,मैं मर गया हूँ कांग बताओ
who is it,यह कौन है,कौन है
you got em bob,आप जाने शुरू बात रखने की लिए,आप उन्हें बॉब मिला
well we sure will,लेकिन भी अभी जाते हैं,खैर हम सुनिश्चित करेंगे
though they are a bit worn,वानर वे एक बार चाहते हैं,हालांकि वे थोड़ा फटे हुए हैं
i am na gon miss this place,मैं इस अपना काम कर रहा हूँ,मैं इस जगह को मिस कर रहा हूँ
very handsome sir,एकछोटीसी कोमलताकाप्रयासकरें,बहुत अच्छे लग रहे हैं सर
i love bringing people together,मैं लोगों को एक साथ लाने के प्यार करता हूँ,मैं लोगों को एक साथ लाने के प्यार करता हूँ
who gives a shit,एक बार भी रखना,कोई परवाह कौन देता है
it is over impound right now,यह सब है कि हमें तो तो तो,यह खत्म हो चुका है अभी बाड़े में बन्द करना
they will say the same thing,वे कुछ ही बात हो गए,वे भी यही कहेंगे
i am talking to you,मैं आप से बात कर रहा हूँ,मैं आप से बात कर रहा हूँ
okay i am nosing down,ठीक है मैं नीचे नीचे हूँ,ठीक है   मैं नीचे की तरफ जा रहा हूँ
we need to talk,हमें बात करनी है,हम बात करने की जरूरत है
let us eat man,चलो इन आओगे,हमें आदमी खाने
he he is that guy,नहीं वह यह अच्छा चाहिए,यह यह तो वही बंदा है
come on open this shirt,इस कमीज खोलने चलो,इस कमीज खोलने चलो
you looking for someone,तुम किसी के लिए में हैं,किसी को खोज रहे हो
i will help you,मैं तुम्हारे साथ आ जाएगा,मैं तुम्हारी मदद करेंगे
conn pod door lock secure,क्ोन फली दरवाजा सुरक्षित ताला,क्ोन फली दरवाजा सुरक्षित ताला
i am a bed wetter,मैं एक धैर्य बहुत आदमी हूँ,मैं मोजो बिस्तर
four bullets per victim,छुट्टी में कभी पुत्र में,चार   गोलियों प्रति शिकार
i have to go,मुझे जाना है,मुझे जाना है
we were never star athletes,हम कभी साझा नहीं कर रहे हैं,हम स्टार एथलीटों कभी नहीं थे
i hope not,मैं नहीं जानती,मुझे नहीं लगता है
raleigh this is hercules hansen,मेरा प्रिया बहुत किस्मतवाली है,रैले इस पहलवान हैनसेन है
catelyn stark would be proud,वह बताओ तुम सब बताओ,केटेलिन स्टार्क पर गर्व होगा
i would do the same,मैं कुछ ही देखा है,मैं भी ऐसा ही होगा मुझे क्या करना होगा
son give me your hand,अपना बीस दिखाओ मुझे,बेटा मुझे अपना हाथ दे
well thank you very much,हर बहुत मुझे,आपका बहुतबहुत शुक्रिया
that is why i brought her,मैं कारण है कि मैं देख गया है,इसलिए तो लाया हूँ
steve gray already did that,उन लोगों को   ये किया तो   है ना,स्टीव ग्रे पहले से ही था
my madness gets some patience,मेरी रविवार ​​कि किसकिस को गई है,मेरा पागलपन कुछ धैर्य हो जाता है
how is he,कहाँ कौन है,वह कैसा है
hard to know years,बेबी के के लिए उसे खड़े चल रहा है,कहना जरा कठिन है फिर भी कुछ साल तो जरुर लगेंगे
be careful carry him,उसे यहाँ से जाओ जाओ,हाँ संभाल के उठाओ इसे
least you had anton,कम से कम आप एंटोन था,कम से कम आप एंटोन था
i not can save him,मैं उसे नहीं छोड़ सकते,कोई खजाना नहीं है
let us go back down again,चलो चलो,चलो वापस फिर से नीचे
from the fifth fucking floor,पांचवें कमबख्त मंजिल से,पांचवें कमबख्त मंजिल से
you swear it,आप यह कसम खाता हूँ,आप यह कसम खाता हूँ
give us that diversion,स्कॉट इतना देखते हैं,हमें उस मोड़ दे
my child is home,सूट कौन मिस्टर है,मेरे बच्चे को घर है
but i was young,लेकिन मैं सुलझा लिया था,लेकिन मैं छोटा था प्यार करता हूँ
wind banging shutters,वाह डॉ स्वान,हवा बंद पीटने
take him into custody general,अपने हाथों पर यदि,मि
bless you alexander,सिकंदर तुम्हें आशीर्वाद,सिकंदर तुम्हें आशीर्वाद
a visit to the bar,एक मेरी के ऊपर ले,बार के लिए एक यात्रा
no not with him,नहीं मेंकोईसंकेतनहींहै,नहीं उसके साथ
that is what he is,कि वह क्या है,यही कारण है कि वह क्या है
where are you going,तुम कहाँ जा रहे हो,तुम कहाँ जा रहे हो
look at mother teresa,जैसे के मदर टेरेसा,जैसे के मदर टेरेसा
it is not over yet,यह नहीं है पर नहीं था,अभी तक यह खत्म नहीं हुआ है
hatchet drops,हाथ उपर,कुल्हाड़ीबूँदें
no lift your chin,नहीं की की करेंगे,नहीं अपनी ठोड़ी उठाओ
well there is one,एलियास एक तरीका है,ठीक है वहाँ एक है
you promised me jacks blood,तुम तुम उन्हें याद किया,आपने मुझे जैक का खतरा बताया है
lower than yours apparently,एक समय में मान थी,स्पष्टतया आपसे तो कम ही है
my daughters in the car,मेरी लड़की कार में है,मेरी लड़की कार में है
what are you doing,तुम क्या कर रहे हो,आप क्या कर रहे हैं
i got your note,मैं तुम्हारे निर्णय लिया,मैं अपने नोट मिला है
we have lost the package,हमने माल खो दिया है,हमने माल खो दिया है
my parents tried to run,अपनी उंगलियों के साथ ले लो,मेरे मातापिता को चलाने की कोशिश की
been waiting for you,तुम के के लिए धन्यवाद,आप के लिए इंतजार कर रहे थे
head to the south lawn,मम्मी को के लिए टुकड़े,साउथ लॉन की ओर बढ़ो
she left long ago,सभी योजना की थी,वह तो बहुत समय पहले छोड़कर चली गई
that guys a magician,उस आदमी को एक जादूगर है,उस आदमी को एक जादूगर है
door closes bell ringing,दरवाजा बंद करता है घंटी बज,दरवाजा बंद करता है घंटी बज
coverage cap limit what is that,माँ इसका यह क्या मतलब है,कवरेज टोपी सीमा कि क्या है
i do not understand that either,मुझे लगता है कि या तो समझ में नहीं आता,मुझे लगता है कि या तो समझ में नहीं आता
good to meet you,आपसे मिलकर अच्छा लगा,आप को पूरा करने के लिए अच्छा है
♪ baby lifes too short,♪ शिशु जीवनबहुतछोटाहै ♪ ♪ शिशुजीवनबहुतछोटा है,♪ शिशु जीवनबहुतछोटाहै ♪ ♪ शिशुजीवनबहुतछोटा है
like a hundred dollars,ठीक है,ठीक है
sweetheart i swear on you,जानेमन मैं तुम पर कसम खाता हूँ,जानेमन मैं तुम पर कसम खाता हूँ
yeah we can handle it,हाँ हम इसे संभाल कर सकते हैं,हाँ हम इसे संभाल कर सकते हैं
all right call her,ठीक है उसे बुलाओ,ठीक है उसे बुलाओ
a dreamer after all,एक सपने देखने के बाद सब,एक सपने देखने के बाद सब
see what i mean,यही क्या है कि,मैं क्या मतलब है
she wanted to be moved,हमें जैक्स जाना होगा,मेरे लिए यह और बुरा है
let us get back to work,के खुद के लिए आ लो,के काम पर वापस मिलता है
right out front sheriff,बहुत अंत पर ठीक है,सही बाहर सामने प्रधान
come here come here,यहाँ जाओ यहाँ से निकालो,यहाँ आओ
top test scores in class,रॉकेट यात्रा जला दिया,वर्ग में शीर्ष टेस्ट स्कोर
i will see ya,ठीक,ठीक
they found the teller boy,वे हाइड्रा से मिल गए थे,वे टेलर लड़का मिला
although he likes to talk,देखो फिर हमें तरह से शांत कर दिया,हालांकि वह बात करना पसंद करता है
i slept on the sofa,मैं नीचे पर मार दिया,मैं सोफे पर सो गया था
what can you do,तुम क्या कर सकते हैं,तुम क्या कर सकते हो
did you like the food,कुछ काम गए है,आप खाना पसंद आया
no a minor problem,नहीं एक समस्या नहीं,' नहीं एक छोटी सी समस्या '
you insult me cleitus,तुम मुझे उतारो,तुम क्लीटस मेरा अपमान
you can change now,अब आप बदल सकते हैं,अब आप बदल सकते हैं
times makes,समय समय नहीं मिलेगी,गुणा   बनता है
get down on the ground,जमीन पर बैठ जाओ,जमीन पर बैठ जाओ
i am the queen,मैं माफ भाग्यशाली हैं,मैं रानी हूँ
i am at franks house,मैं अपने रास्ते पर हूँ,मैं फ्रैंक के घर पर हूँ
this is your mother,यह मेरी रक्त है,यह तुम्हारी माँ है
so was her socalled mother,तो यह पल जहाज को चिंतित लगाएं,और उसकी तथाकथित माँ को भी
i wanna go home,मैं नीचे मैं चाहते हैं,मैं घर जाना चाहता हूं
so here we are,सो हम आ गए,तो हम यहाँ हैं
oh my god,ओह भगवान,ओह मेरे भगवान
he wants me to starve,वह मुझे भूखे मारना चाहता है,वह मुझे भूखे मारना चाहता है
a new future for mankind,दुर्गा के लिए एक नई साड़ी,मानवताकेलिएएकनएभविष्य
they will hang us for treason,वे हमें करने के लिए झूठ किया था,वे देशद्रोह के लिए हमें रखता हूँ
that is what he is,कि वह क्या है,यही कारण है कि वह क्या है
stick your tongue out,अपनी जीभ बाहर निकालो,अपनी जीभ बाहर निकालो
and that is my mum,और यह यह लंबी खबर है,और मेरे साथ मेरी माँ हैं
you have until dawn,आप वचन की उसके की,आप सुबह तक है
you need to go change,आप जाने की आवश्यकता है,आप परिवर्तन जाने की जरूरत है
he is na gon lose the suit,वह बहुत शब्द में है,वह वाला सूट खो रहा है
let us be allies,स्कॉट चलो नदी,हमें सहयोगियों किया जाना है
all of us here together,ऐसा मेरे पिता का पिता अच्छा थी,हम सब यहाँ पर साथ में
it will take you south,वहाँ सब मुझे देखते हैं,यह तुम्हें दक्षिण ले जाएगा
man speaking native language,पुरुष अपनी मातृभाषा में बोल रहा है,पुरुष अपनी मातृभाषा में बोल रहा है
come on that is just nonsense,कैसे कैसा यह डॉक्टर है,ये बकवास है
i love sanjay,मैं हैदराबाद से हूं,मैं संजय से प्यार है
this is called solomons treatment,यह बिल्कुल युद्ध गर्म किया,इसे कहते है सालमन का इलाज
like a hive mind,एक आदमी में विचार था,एक छत्ता मन की तरह
sita was rams wife,ये कैमेरे को रहते हैं,सीता राम की पत्नी थी
what do i do,मुझे क्या करना चाहिए,मैं क्या करूं
by direct order of m,अपने वरिष्ठ अफ़सरों के मूल्यांकन,एम के सीधे आदेशों के अनुसार
what they did do,जो उन्होंने किया वो था,जो उन्होंने किया वो था
i am na gon help you okay,मैं ठीक है तुम मदद करने वाला हूँ,मैं ठीक है तुम मदद करने वाला हूँ
tonys his imaginary friend,टोनी उसका काल्पनिक दोस्त है,टोनी उसका काल्पनिक दोस्त है
losing someone you love,के बारे में तुम्हारा ख्याल करते हैं,किसी को खो देना जिसे आप प्रेम करते हैं
they are just in here,वे यहां बस रहे हैं,वे यहां बस रहे हैं
some of you will hurt,तुम में से कुछ को चोट पहुँचेगी,तुम में से कुछ को चोट पहुँचेगी
bring it to me,मेरी मेरी ओर छोड़ दो,यह मेरे पास लाओ
my family deserves it,मेरे परिवार के काबिल है,मेरे परिवार के काबिल है
i know you are there,मैं जानता हूँ तुम वहाँ हो,मैं जानता हूँ कि तुम वहाँ हो
well see this pie chart,हमारे कोई इतना गिर क्षतिपूर्ति था,यह पाइ चार्ट देख रहे हो
get out of here,चले जाओ यहाँ से,यहां से निकलो
i am your servant father,मैं अपने कॉलेज अव्वल रहा,मैं तेरा दास हूँ पिता
what will you have,तुम क्या पीयोगी,तुम क्या पीयोगी
i did see one company,मैं आने वाले की जरूरत है,मैंने एक जात्रा देखी
i heard it you know,मैं तुम्हें आपको नहीं पता था,मैं सुना जानती हैं
all your wages erik,आह मेरे पंजे थी,पूरी मजदूरी एरिक
son have a seat,एक अच्छा हथियार लुकास,बेटा एक सीट है
but it knows you jack,लेकिन यह मुझे आँखों मारा है,लेकिन यह आपको जानता है जैक
it is between you and me,यह मेरे में कहा है तो है,सिर्फ हम दोनों के बीच   ठीक है वादा
they have done it here,क्या यह यहाँ होना चाहिए,इन्होनें यहाँ कैम्प बना लिया है
i just thought since we,कमबख्त मैं तुम्हें जान से मार देना चाहिए,मैं सिर्फ हम के बाद सोचा था कि
you are messing up his hair,आप फ्यूरर कम जश्न कर रहे हैं,आप अपने बालों से खिलवाड़ कर रहे हैं
nobody benefits from that,इससे किसी को लाभ नहीं होता,इससे किसी को लाभ नहीं होता
jim it is just it is useless,जिम यह सिर्फ है यह बेकार है,जिम यह सिर्फ है यह बेकार है
tome you can stop,एरिक आप आ सकते हैं,ठीक है
that is what we want,हम यही करेंगे,हम क्या चाहते है
i like the hat,मैं तीव्रता रिले है,मैं टोपी पसंद है
right out front sheriff,ये अंत में है,सही बाहर सामने प्रधान
you are right dad,आप अकेले नहीं हैं,आप सही हैंडैड
life in mono playing,लोगों को आज बदल रहे हैं,जीवनमोनोखेल में
how do you want it,कैसे तुम्हें यह करना चाहते हैं,कैसे तुम्हें यह करना चाहते हैं
i just want to look,सभी समय मैं बस देखना चाहता था,सभी समय मैं बस देखना चाहता था
come on move fast,फर्श पर बैठ जाओ,चाल तेज चलो
well i have tons,खैर मैं टन है,खैर मैं टन है
mechanic limo driver construction,आज अपने पीछे ने,निर्माण
it is because of your hair,तुम्हारे बालों के रंग के कारण,तुम्हारे बालों के रंग के कारण
go back to that life,आओ उसके लिए कुछ कुछ लो,वापस कि जीवन में जाओ
i do not know why,मुझे नहीं पता सीता नहीं है,मुझे पता नहीं क्यों
they are welltrained and they are wellorganized,वे कहते हैं कि हम जा रहे हैं,वे अच्छी तरह से प्रशिक्षित हैं और वे अच्छी तरह से आयोजित कर रहे हैं
breathing heavily,श्वास भारी,श्वास भारी
wait wait wait,रुको रुको रुको रुको,रुको रुको रुको
perhaps from my youth,शायद मेरी जवानी के दिनों से पहचानो,शायद मेरी जवानी के दिनों से पहचानो
do not touch me,छूना नहीं मुझे,छूना नहीं मुझे
why the fuck,दुल्हन कहां होगा,क्यों बकवास
where is the garage clicker,गैराज खोलने वाला क्लिकर कहां है,गैराज खोलने वाला क्लिकर कहां है
oh come on chrissy,ओह क्रिसी पर आते हैं,ओह क्रिसी पर आते हैं
my whole body is shivering,मेरा नाम कानूनऩ शा है,मेरा पूरा शरीर कांप रहा है
will you count in chinese,आप चीनी में गिनती होगी,आप चीनी में गिनती होगी
no we did not,नहीं ऐसा नहीं है,नहीं ऐसा नहीं है
the warden wants to talk,तंबाकू अधिकार के लिए ऊपर जाओ,वार्डन बात करना चाहता है
you talk american,आप अमेरिकी बोलो,आप अमेरिकी बोलो
because it is a happy film,क्योंकि यह एक खुशियों भरी फ़िल्म है,क्योंकि यह एक खुशियों भरी फ़िल्म है
we need to operate,हमें दो करनी की जरूरत है,ऑपरेशन करना होगा
gilly would love it here,गिली इसे यहाँ अच्छा लगेगा,गिली इसे यहाँ अच्छा लगेगा
you are not thinking straight,तुम स्पष्ट नहीं सोच रहे,तुम स्पष्ट नहीं सोच रहे
let us secure all nuclear sites,चलो कुछ लाठी खेलते हैं,के सभी परमाणु स्थलों को सुरक्षित करते हैं
i love sanjay,मैं हैदराबाद से हूं,मैं संजय से प्यार है
run another name will you,एक और नाम की जाँच करोगी,एक और नाम की जाँच करोगी
that we try it again,अब हम समझ में आया,हम फिर से कोशिश करें
this is kathmandu nepal,यह काठमांडू है नेपाल,यह काठमांडू है नेपाल
sounds good to us,इस आसान नहीं है,सही कहा
damn it to hell,यह नरक के लिए धिक्कार है,यह नरक के लिए धिक्कार है
only a few days,केवल कुछ दिन,केवल कुछ दिन
julio dead you owe me,जूलियो मृत तुम मुझे देने हैं,जूलियो मृत तुम मुझे देने हैं
of course she was,बताओ कौन,यकीनन सही थीं
wash yourself clean,सभी लोग करो,अपने आप को साफ़ कर लो
i am saving the human race,मैं एक धैर्य तैनाती चिकित्सक हूँ,मैं मानव जाति को बचा रहा हूँ
it is based on ticket sales,यह सबसे वाला वाला है,यह टिकट बिक्री पर आधारित है
do i have to,मैं मिलने क्या है,रहना पड़ेगा
look at me,मुझे देखो,मुझे देखो
possibly even to life,शायद हिमलर के सहयोग किया,संभवतः जीवन को भी
no i did not drug you,नहीं भी मैं समझ में नहीं,नहीं तुम दवा मैंने किया
it was really very bad,यह वास्तव में बहुत बुरा था,यह वास्तव में बहुत बुरा था
that is my boss,कि मेरा कैप है,वह मेरी मालकिन है
now we have a policy,अब हम एक आवश्यकता है,अबहमएक नीतिहै
smart beautiful tremendous appetite,अरस्तू मैक्स पूर्वद्रष्टा है,स्मार्ट सुंदर खानेपीने की खूब शौकीन
stop your princess is safe,बसअपनामुँहबंद रखना,मैं आ रहा हूँ
not a problem man,नहीं एक समस्या यार,नहीं एक समस्या यार
get them and what,मेरी कॉर्प और देखो,जाओ उन्हें और क्या
yes sir it does,हाँ सर यह करता है,हाँ सर यह करता है
those are my pills,उन कहानी बहुत में हैं,उन मेरे गोलियाँ हैं
oh can he now,ओह क्या अभी कर सकता है,ओह क्या अभी कर सकता है
after he smells mine,और बाद इस में मजा किया,मेरी सूंघने के बाद
you not can fake these emotions,तुम पता नहीं डैरेन मैं नहीं सकते,इन भावनाओं की नकल नहीं कर सकते
yes you will sergeant,हाँ आप सार्जेंट होगा,हाँ आप सार्जेंट होगा
bring me the black box,रॉकेट प्रक्षेपक लेकर आओ,काला डिब्बा ले आओ
this is nothing really,यह किसी चीज़ जैसा नहीं होता,यह कोई बड़ी बात नहीं है सच में
get me quarter brandy,मुझे प्रश्न दो दो,मुझे एक क्वाटर ब्रांडी दो
you are not a ghost,तुम एक नहीं हो,चार आप में से गिर गया सिर्फ हमें छोड़ दिया है
i am hanging up,मैं बहुत पर हूँ,मैं फ़ोन रख रहा हूं
now the other one,उसे एक योजना है,अब दूसरी
he is at the museum,वह बिल में है,उन्होंने कहा कि संग्रहालय में है
tech enter at headway speed,अपने यात्रा मुकाबला उड़ान हैं,टेक प्रगति गति से प्रवेश
what was that about,उस के बारे में मत करो,हुआ क्या है
yeah this is carol,हां कैरल बोल रही हूं,हां कैरल बोल रही हूं
but we have to,पर हमें नहीं,पर हमें नहीं
mr hallorann i am jack,मैंने देखा मैंने मैंने हूँ,श्री हैलोरन मैं हूँ जैक
you want some water,आप कुछ ठीक चाहते हैं,आप कुछ पानी चाहते हैं
it smells really good,यह दुकान है यह बहुत अच्छा था,अच्छी खुशबू आ रही है
and you make the call,और तुम मुक्त हो रहा है,और फिर आप निर्णय लेते हैं
frau junge you are right,अरे बिंदु तुम चल रहे हैं,फ्रॉ जुंग तुम ठीक कह रही हो
gupe what are you doing,स्टीव तुम क्या कर रहे हो,गुपे क्या कर रहे हो
comprende yes completely comprende,जब सभी प्रकार की बताओ को,हाँ बिलकुल समझ गया
yes mr baptiste,हाँ घर लीग,हाँ श्री बैप्टिस्ट
what great confidence you have,मुझे क्या क्या हुआ,क्या आत्मविश्वास है तुम्हारा
thank you doug,धन्यवाद महोदय,डौग धन्यवाद
can hear the kookaburras now,वे हमें लोग ऑनलाइन कर रहे हैं,अब कूकाबरा की आवाज़ सुनी जा सकती है
touch of the flu,फ्लू के टच,फ्लू के टच
nice reckless flying,बहुत अच्छी लापरवाह उड़ान,बहुत अच्छी लापरवाह उड़ान
all right i will,ये   मैं मैं,ठीक है मैं करूँगा
under these conditions i not can,इन शर्तों के तहत मैं नहीं कर सकता,इन शर्तों के तहत मैं नहीं कर सकता
miss you a lot,जिममैं बुरा दो मिल दिया,आपकी बहुत याद आती है
that is all i ever eat,यही कारण है कि मैं अपने करनी चाहिए,सभी मैंने खा ली है
tell me fucking why,अरे तुम तुम बताओ,मुझे क्यों कमबख्त बताओ
looks to me okay,मुझे मुझे करता है,मुझे लगता है ठीक है
tej what have you got,जूडिथ तुमने क्या क्या है,तेज आप क्या मिल गया है
hey what are you doing,अरे तुम क्या कर रहे हो,अरे तुम क्या कर रहे हो
i want it done,मैं डौग वहाँ हो हूं,मैं इसे किया चाहते हैं
son we need to talk,इसके हम हम   लेने की जरूरत है,बेटा हमें ज़रूरी बात करनी है
it is taylor here,यहाँ अच्छा है  है,यह टेलर यहाँ है
did she get hiv too,वह वहाँ वहाँ मिल जाएगा,वह भी एचआईवी मिलता है
sorry what is your idea,ओय एक क्या क्या है,क्षमा करें आपका क्या विचार है
come here you fucking bitch,कितनी कहां पर चलें,यहाँ आप कुतिया कमबख्त आओ
this is for you,यह आपके लिए है,यह आपके लिए है
elizabeth is it there,राम यह सही है,एलिजाबेथ यह नहीं है
oh my god jay,ओह मेरे भगवान,हे भगवान जे
can i have a light,क्या एक विशेष नहीं हूँ,जरा आग दोगी
not me or anyone else,ना मुझे ना किसी और को,ना मुझे ना किसी और को
but that is artillery is not it,लेकिन यह यह बात नहीं है,लेकिन वह यह तोपखाने नहीं है
some picture d i,वास्‍तव सांस मैं मुझे छोड़ दो,कुछ चित्र आईडी
take the whole city down,टायर सींग नीचे रखो,पूरे शहर को नीचे ले जाओ
what are you thinking,तुम क्या कर रहे हो,आप क्या सोच रहे हो
i should have known,मुझे पता होना चाहिए था,मुझे पता होना चाहिए था
always fucking trouble with you,यहां से आप पापा के छोड़ दो,हमेशा मुसीबत खड़ी करते हो
i enlisted the next day,मैं और मदद चाहिए था,मैं अगले दिन आयोजिक
i do not like wasted trips,मैं अपनी कहीं नहीं नहीं देखा,मैं यात्राएं नहीं बर्बाद करना पसंद है
ominous music,अशुभ संगीत,अशुभ संगीत
why are there humans here,लड़की सैन मेरी बेटी है,लड़की सैन मेरी बेटी है
his name is peter kranz,इसका नाम पीटर क्रांज है,इसका नाम पीटर क्रांज है
how long chef,कितनी हैं,चीयर्स
i want to talk to,मैं वापस करने के लिए मिल जाएगा,मैं बात करना चाहता हूं
well i would rather wait,ठीक है मैं उन्हें आए हैं,खैर मैं काफी इंतजार करना चाहिये
all right yeah i am down,ठीक है हाँ मैं नीचे हूँ,ठीक है हाँ मैं नीचे हूँ
my husbands still drunk,तुम्हारे जैसे और थे,मेरे पति अभी भी नशे में है
a new future for mankind,दुर्गा के लिए एक नई साड़ी,मानवताकेलिएएकनएभविष्य
i hate you leave me,मै तुमसे नफ़रत करती हूँ,मै तुमसे नफ़रत करती हूँ
i was mad about her,मैं उसके बारे में सोचूँगा,मैं उसके लिये मरा जा रहा था
they just took the convoy,वे सिर्फ काफिले लिया,वे सिर्फ काफिले लिया
this bird is baked,इस आसान नहीं है,यह पक्षी पकाया जाता है
you asked for the alien,तुम प्रजनन के लिए लड़ते हैं,आप विदेशी के लिए कहा
i need a ticket,मैं एक व्रत की जरूरत है,मैं एक टिकट की जरूरत है
where did he come from,कहाँ कहाँ कहा,यह आया कहाँ से
raleigh this is hercules hansen,मेरा प्रिया बहुत किस्मतवाली है,रैले इस पहलवान हैनसेन है
i can handle the computer,मैं कंप्यूटर संभाल कर सकते हैं,मैं कंप्यूटर संभाल कर सकते हैं
you are too old lasse,तुम एक अजीब आदमी हो,तुम काफी बूढ़े हो लेसे
me stepmother as well,आप उन्हीं के लिए से कारण,मेरी दादी भी
bagonghi let us go this way,अरे यह वापस चलते हैं,बगोंघी चलो इधर से चलें
at this time of night,बस मेरा विकल्पों पर है,इतनी रात को
man speaking native language,पुरुष अपनी मातृभाषा में बोल रहा है,पुरुष अपनी मातृभाषा में बोल रहा है
